nome_dialogo,qtde_sessoes,sessoes_expiradas,qtde_ir_para_agente,qtde_intervencao_humana,qtde_encerrar_sessao
(PREMI) FAQ Prazo de Resgate,132,24.0,,,
(PREMIAÇÃO) Fluxo Final,79,35.0,,,
(PREMIAÇÃO) Fluxo Inicial,499,8.0,,,
(Premi) Catalogo,17,,,,
(Premi) FAQ de Resgate,165,35.0,,,
(Premi) problemas de resgates,254,11.0,,,
(RECUPERAÇÃO DE SENHA) Fluxo Final,95,,,,95.0
(RECUPERAÇÃO DE SENHA) Fluxo Inicial,136,,,,
(dados) Fluxo inicial,433,35.0,,,
+OPÇÕES,1,,,,
10 Sales List,80,16.0,,,
APP,3,,,,
Atribuir Fornecedor,404,9.0,,,
Atribuir dados do Usuário,1170,,,,
Boas Vindas,1515,,,,
Buscar CampaignUser,33,,,,
Buscar Fornecedores,1170,,,,
Buscar Realms do usuário (CPF),468,,,,
Buscar Realms do usuário (Celular),1340,,,,
Buscar Usuário CPF,430,,,,
Buscar Usuário Celular,740,,,,
Buscar Venda por ID,24,8.0,,,
Buscar last 10 vendas,105,,,,
CPF,4,,,,
Confirmar o APP,1306,11.0,,,
Consultar Prêmio,76,25.0,,,
Contestação de Meta,17,,,,
Duvidas,155,31.0,,,
E-mail,5,,,,
Empresa,3,,,,
Está correto?,149,,,,
FAQ PIX,69,,,,
FAQ Regulamento,5,,,,
Gerar Token,76,,,,
Horario e Email 2,288,,287.0,,
Info sobre o bot,1515,98.0,,,42.0
Informações erradas,14,,,,
Manager?,188,,,,
MetaPlaceholder?,80,,,,
No histórico?,165,,,,
Nome,3,,,,
Não sei meu ID,80,,,,
PossiveisAPP,1375,,,,
Posso ajudar em algo mais ?,145,20.0,,,19.0
Prazo Prêmio,25,,,,12.0
Prazo de validação,113,,,,
Qual Categoria,1310,41.0,,,
Recuperar Senha,136,3.0,,,
Triagem,157,8.0,,,
Validar CPF,481,2.0,,,
Validar Chave,1375,35.0,,,
VendaId,17,3.0,,,
Verificação de horario,820,2.0,22.0,,253.0
Voltar à lista ?,41,1.0,,,
[Camp] Fluxo Final,17,2.0,,,2.0
[Camp] Fluxo inicial,68,3.0,,,
[Camp]Prazo de validação,12,,,,
[Protocol] E dois,116,33.0,83.0,,
[Protocol] E null,256,44.0,96.0,,
[Vendas] Fluxo Final,140,18.0,,,19.0
[Vendas] Fluxo Final humano,175,,,,
[Vendas] Fluxo Inicial,294,12.0,,,
troca de loja,45,3.0,,,
