nome_dialogo,qtde_sessoes,sessoes_expiradas,qtde_ir_para_agente,qtde_intervencao_humana,qtde_encerrar_sessao
(PREMI) FAQ Prazo de Resgate,152,22.0,,,
(PREMIAÇÃO) Fluxo Final,82,27.0,,,
(PREMIAÇÃO) Fluxo Inicial,548,11.0,,,
(Premi) Catalogo,15,,,,
(Premi) FAQ de Resgate,180,50.0,,,
(Premi) problemas de resgates,265,14.0,,,
(RECUPERAÇÃO DE SENHA) Fluxo Final,57,,,,57.0
(RECUPERAÇÃO DE SENHA) Fluxo Inicial,80,,,,
(dados) Fluxo inicial,382,20.0,,,
+OPÇÕES,3,1.0,,,
10 Sales List,139,23.0,,,
APP,1,,,,
Atribuir Fornecedor,439,7.0,,,
Atribuir dados do Usuário,1148,,,,
Boas Vindas,1448,,,,
Buscar CampaignUser,34,,,,
Buscar Fornecedores,1148,,,,
Buscar Premios,14,,,,
Buscar Realms do usuário (CPF),475,,,,
Buscar Realms do usuário (Celular),1302,,,,
Buscar Usuário CPF,424,,,,
Buscar Usuário Celular,729,,,,
Buscar Venda por ID,36,14.0,,,
Buscar last 10 vendas,164,,,,
CPF,2,,,,
Confirmar o APP,1264,7.0,,,
Consultar Prêmio,94,21.0,,,
Contestação de Meta,15,1.0,,,
Duvidas,165,29.0,,,
E-mail,1,,,,
Empresa,3,,,,
Está correto?,132,,,,
FAQ PIX,75,,,,
FAQ Regulamento,4,,,,
Gerar Token,107,,,,
Horario e Email 2,354,8.0,346.0,,
Info sobre o bot,1449,85.0,,,19.0
Informações erradas,10,1.0,,,
Manager?,269,,,,
MetaPlaceholder?,139,,,,
No histórico?,232,3.0,,,
Não sei meu ID,139,,,,
PossiveisAPP,1344,,,,
Posso ajudar em algo mais ?,162,19.0,,,18.0
Prazo Prêmio,16,2.0,,,3.0
Prazo de validação,129,,,,
Qual Categoria,1271,21.0,,,
Recuperar Senha,80,,,,
Triagem,144,12.0,,,
Validar CPF,483,3.0,,,
Validar Chave,1344,42.0,,,
VendaId,22,1.0,,,
Verificação de horario,839,1.0,21.0,,256.0
Voltar à lista ?,83,3.0,,,
[Camp] Fluxo Final,22,3.0,,,2.0
[Camp] Fluxo inicial,80,5.0,,,
[Camp]Prazo de validação,18,,,,
[Protocol] E dois,100,30.0,66.0,,
[Protocol] E null,211,26.0,83.0,,
[Vendas] Fluxo Final,149,14.0,,,28.0
[Vendas] Fluxo Final humano,243,,,,
[Vendas] Fluxo Inicial,362,9.0,,,
troca de loja,47,2.0,,,
