Nome_dialogo,Tempos acionados,Qtde_usuarios,Qtde_sessoes,Início da sessão [%],Término da sessão [%],Sessoes_expiradas,Qtde_encerrar_sessao,Qtde_ir_para_agente,Qtde_intervencao_humana
(PREMI) FAQ Prazo de Resgate,164,124,132,0,0.0159362549800796,24.0,,,
(PREMIAÇÃO) Fluxo Final,91,77,79,0,0.0232403718459495,35.0,,,
(PREMIAÇÃO) Fluxo Inicial,607,433,499,0,0.0053120849933598,8.0,,,
(Premi) Catalogo,17,16,17,0,0.0,,,,
(Premi) FAQ de Resgate,191,147,165,0,0.0232403718459495,35.0,,,
(Premi) problemas de resgates,333,226,254,0,0.0073041168658698,11.0,,,
(RECUPERAÇÃO DE SENHA) Fluxo Final,95,76,95,0,0.0630810092961487,,95.0,,
(RECUPERAÇÃO DE SENHA) Fluxo Inicial,137,108,136,0,0.0,,,,
(dados) Fluxo inicial,536,355,433,0,0.0232403718459495,35.0,,,
+OPÇÕES,1,1,1,0,0.0,,,,
10 Sales List,120,71,80,0,0.0106241699867197,16.0,,,
APP,3,3,3,0,0.0,,,,
Atribuir Fornecedor,412,330,404,0,0.0059760956175298,9.0,,,
Atribuir dados do Usuário,1178,928,1170,0,0.0,,,,
Boas Vindas,1867,1128,1515,1,0.0,,,,
Buscar CampaignUser,36,26,33,0,0.0,,,,
Buscar Fornecedores,1178,928,1170,0,0.0,,,,
Buscar Realms do usuário (CPF),468,362,468,0,0.0,,,,
Buscar Realms do usuário (Celular),1348,1048,1340,0,0.0,,,,
Buscar Usuário CPF,430,335,430,0,0.0,,,,
Buscar Usuário Celular,748,595,740,0,0.0,,,,
Buscar Venda por ID,52,21,24,0,0.0053120849933598,8.0,,,
Buscar last 10 vendas,107,95,105,0,0.0,,,,
CPF,4,4,4,0,0.0,,,,
Confirmar o APP,1339,1028,1306,0,0.0073041168658698,11.0,,,
Consultar Prêmio,108,70,76,0,0.0166002656042496,25.0,,,
Contestação de Meta,20,16,17,0,0.0,,,,
Duvidas,236,143,155,0,0.0205843293492695,31.0,,,
E-mail,5,5,5,0,0.0,,,,
Empresa,3,3,3,0,0.0,,,,
Está correto?,172,130,149,0,0.0,,,,
FAQ PIX,79,66,69,0,0.0,,,,
FAQ Regulamento,6,5,5,0,0.0,,,,
Gerar Token,76,70,76,0,0.0,,,,
Horario e Email 2,302,270,288,0,0.1905710491367861,,,287.0,
Info sobre o bot,1867,1128,1515,0,0.0929614873837981,98.0,42.0,,
Informações erradas,21,14,14,0,0.0,,,,
Manager?,191,169,188,0,0.0,,,,
MetaPlaceholder?,82,71,80,0,0.0,,,,
No histórico?,168,147,165,0,0.0,,,,
Nome,4,3,3,0,0.0,,,,
Não sei meu ID,82,71,80,0,0.0,,,,
PossiveisAPP,1383,1075,1375,0,0.0,,,,
Posso ajudar em algo mais ?,241,140,145,0,0.0258964143426294,20.0,19.0,,
Prazo Prêmio,25,19,25,0,0.0079681274900398,,12.0,,
Prazo de validação,120,105,113,0,0.0,,,,
Qual Categoria,1653,1025,1310,0,0.0272244355909694,41.0,,,
Recuperar Senha,137,108,136,0,0.0019920318725099,3.0,,,
Triagem,157,137,157,0,0.0053120849933598,8.0,,,
Validar CPF,481,370,481,0,0.0013280212483399,2.0,,,
Validar Chave,1397,1075,1375,0,0.0232403718459495,35.0,,,
VendaId,28,15,17,0,0.0019920318725099,3.0,,,
Verificação de horario,825,683,820,0,0.1839309428950863,2.0,253.0,22.0,
Voltar à lista ?,59,37,41,0,0.0006640106241699,1.0,,,
[Camp] Fluxo Final,20,17,17,0,0.0026560424966799,2.0,2.0,,
[Camp] Fluxo inicial,78,64,68,0,0.0019920318725099,3.0,,,
[Camp]Prazo de validação,12,12,12,0,0.0,,,,
[Protocol] E dois,122,106,116,0,0.0770252324037184,33.0,,83.0,
[Protocol] E null,329,230,256,0,0.0929614873837981,44.0,,96.0,
[Vendas] Fluxo Final,153,130,140,0,0.0245683930942895,18.0,19.0,,
[Vendas] Fluxo Final humano,175,156,175,0,0.0,,,,
[Vendas] Fluxo Inicial,402,258,294,0,0.0079681274900398,12.0,,,
troca de loja,61,42,45,0,0.0019920318725099,3.0,,,
