nome_dialogo,qtde_sessoes,sessoes_expiradas,qtde_ir_para_agente,qtde_intervencao_humana,qtde_encerrar_sessao
(PREMI) FAQ Prazo de Resgate,140,19.0,,,
(PREMI) Prazo de resgate,1,,,,
(PREMIAÇÃO) Fluxo Final,73,19.0,,,
(PREMIAÇÃO) Fluxo Inicial,515,11.0,,,
(Premi) Catalogo,22,,,,
(Premi) FAQ de Resgate,178,52.0,,,
(Premi) problemas de resgates,283,17.0,,,
(RECUPERAÇÃO DE SENHA) Fluxo Final,63,,,,63.0
(RECUPERAÇÃO DE SENHA) Fluxo Inicial,94,,,,
(dados) Fluxo inicial,436,32.0,,,
+OPÇÕES,3,1.0,,,
10 Sales List,111,12.0,,,
APP,1,,,,
Atribuir Fornecedor,432,4.0,,,
Atribuir dados do Usuário,1182,,,,
Boas Vindas,1517,,,,
Buscar CampaignUser,48,,,,
Buscar Fornecedores,1183,,,,
Buscar Premios,6,,,,
Buscar Realms do usuário (CPF),512,,,,
Buscar Realms do usuário (Celular),1347,,,,
Buscar Usuário CPF,479,,,,
Buscar Usuário Celular,706,,,,
Buscar Venda por ID,29,10.0,,,
Buscar last 10 vendas,127,,,,
CPF,3,,,,
Confirmar o APP,1318,9.0,,,
Consultar Prêmio,85,26.0,,,
Contestação de Meta,24,2.0,,,
Duvidas,155,37.0,,,
E-mail,1,,,,
Empresa,1,,,,
Está correto?,141,,,,
FAQ PIX,84,,,,
FAQ Regulamento,12,,,,
Gerar Token,91,,,,
Horario e Email 2,302,2.0,300.0,,
Info sobre o bot,1517,98.0,,,23.0
Informações erradas,8,,,,
Manager?,242,,,,
MetaPlaceholder?,111,,,,
No histórico?,205,5.0,,,
Nome,1,,,,
Não sei meu ID,111,,,,
PossiveisAPP,1392,,,,
Posso ajudar em algo mais ?,179,23.0,,,23.0
Prazo Prêmio,17,1.0,,,8.0
Prazo de validação,112,,,,
Qual Categoria,1316,24.0,,,
Recuperar Senha,94,1.0,,,
Triagem,154,12.0,,,
Validar CPF,524,3.0,,,
Validar Chave,1393,42.0,,,
VendaId,19,2.0,,,
Verificação de horario,863,,30.0,,275.0
Voltar à lista ?,71,3.0,,,
[Camp] Fluxo Final,23,1.0,,,3.0
[Camp] Fluxo inicial,93,3.0,,,
[Camp]Prazo de validação,11,,,,
[Protocol] E dois,106,34.0,71.0,,
[Protocol] E null,260,48.0,106.0,,
[Vendas] Fluxo Final,142,12.0,,,20.0
[Vendas] Fluxo Final humano,230,,,,
[Vendas] Fluxo Inicial,361,9.0,,,
troca de loja,34,3.0,,,
